Ticker,grossMargins,netProfitMargin,returnOnEquity,returnOnAssets,returnOnCapitalEmployed,Score
MMM,0.0317257643873675,0.0,-0.17428220961585686,0.19105610818457766,0.0,0.04849966295608829
AOS,-0.22026645700844694,0.0,-0.05156557755374136,1.4393936840403252,0.0,1.167561649478137
ABT,0.49241449536435966,0.0,-0.07188779001915002,-0.08565155615586241,0.0,0.33487514918934724
ABBV,1.0904286252676645,0.0,-0.02135089070315684,0.21386780359837299,0.0,1.2829455381628807
ACN,-0.48300736554791496,0.0,-0.05651425131637489,1.1751118469292805,0.0,0.6355902300649906
ADBE,1.903373331316472,0.0,-0.05043988219266962,1.7010790680148398,0.0,3.5540125171386423
AMD,0.2901671980693741,0.0,-0.08741970565306129,-1.1155162023047613,0.0,-0.9127687098884485
AES,-1.0148094106673196,0.0,-0.09167273891133021,-0.6134734422629388,0.0,-1.7199555918415883
AFL,0.20925108125194997,0.0,-0.059781691747537655,-0.6540893506636063,0.0,-0.5046199611591939
A,0.28999521907507547,0.0,-0.06434416793965701,0.24150148340858055,0.0,0.46715253454399897
APD,-0.5335691898716614,0.0,-0.0702382333165572,-0.25460652660688876,0.0,-0.8584139497951073
ABNB,1.6789835665265653,0.0,0.0013859626774511424,-0.37014865409026654,0.0,1.3102208751137498
AKAM,0.7076462067288789,0.0,-0.07255053585327086,-0.32378338241719384,0.0,0.3113122884584142
ALB,-1.904542737670388,0.0,-0.08516709676772351,-1.7114021971382951,0.0,-3.7011120315764066
ARE,1.1491164570720134,0.0,-0.08784245067780308,-0.9756786548088122,0.0,0.0855953515853981
ALGN,1.1432260045382965,0.0,-0.07431461378457739,0.08701252178507167,0.0,1.1559239125387908
ALLE,-0.0057656563696961965,0.0,-0.034865326461131683,0.8164305776724926,0.0,0.7757995948416647
LNT,0.01388285773940528,0.0,-0.07693392658360795,-0.7026801535965613,0.0,-0.765731222440764
ALL,-1.1681716788329686,0.0,-0.08099690713466232,-0.9816134141082123,0.0,-2.2307820000758434
GOOGL,0.5870459369770856,0.0,-0.05361107810703079,1.6795655991693093,0.0,2.213000458039364
GOOG,0.5870459369770856,0.0,-0.05361107810703079,1.6795655991693093,0.0,2.213000458039364
MO,1.10216601964954,0.0,-0.08987211352579606,2.5866550485097433,0.0,3.598948954633487
AMZN,0.16260186503799065,0.0,-0.0651348361377424,-0.11143060803674068,0.0,-0.013963579136492432
AMCR,-1.0473994300868772,0.0,-0.07044655883717181,-0.34010401917404076,0.0,-1.4579500080980898
AEE,0.28260012232024206,0.0,-0.0772677366798565,-0.6644751817558183,0.0,-0.45914279611543274
AAL,-0.7954072086910625,0.0,-0.08987211352579606,-0.5633989889155829,0.0,-1.4486783111324415
AEP,0.05270707270753361,0.0,-0.07608843677778133,-0.6965599426318846,0.0,-0.7199413067021323
AXP,0.51245004820013,0.0,-0.04984536153811087,-0.554496863876053,0.0,-0.09189217721403392
AIG,-0.5462956354497472,0.0,-0.07566081873477681,-1.0626598348825524,0.0,-1.6846162890670766
AMT,1.172161470329012,0.0,-0.06888228086789032,-0.4923674495376671,0.0,0.6109117399234545
