Ticker,currentRatio,quickRatio,interestCoverageRatio,debtToEquity,operatingCashFlow,Score
ADBE,-0.5919827365585333,-0.3730535712164482,0.0,-0.3824403015765471,0.0,-0.5825960061984343
ADP,-0.6162976029238899,-0.9558618458078667,0.0,-0.11488868947159567,0.0,-1.457270759260161
ABNB,-0.3265454454033904,-0.46970741873532207,0.0,-0.3677783000016187,0.0,-0.42847456413709384
GOOGL,0.1509715134940294,0.385029964174122,0.0,-0.4778259387171329,0.0,1.0138274163852843
GOOG,0.1509715134940294,0.385029964174122,0.0,-0.4778259387171329,0.0,1.0138274163852843
AMZN,-0.5764482386028886,-0.44662590290991944,0.0,-0.1107516458869093,0.0,-0.9123224956258986
AMD,0.48192386124471626,0.1924435665059182,0.0,-0.5026425018181098,0.0,1.1770099295687442
AEP,-0.9384695822648647,-0.8491098351153791,0.0,0.4413214347902058,0.0,-2.2289008521704496
AMGN,-0.3400537044952552,-0.4415768213231126,0.0,6.731234634327385,0.0,-7.512865160145752
ADI,-0.27994195153645696,-0.4278721713017797,0.0,-0.4203916931385461,0.0,-0.28742242969969056
ANSS,0.5933669987526007,0.9022001781370513,0.0,-0.44121367283337265,0.0,1.9367808497230248
AAPL,-0.6000876920136521,-0.413446223910903,0.0,0.27024955399699674,0.0,-1.2837834699215518
AMAT,0.5899899339796345,0.24798346396079346,0.0,-0.3588887848609703,0.0,1.1968621828013983
ASML,-0.26170580176243946,-0.4985593135170755,0.0,-0.3425172611436094,0.0,-0.4177478541359056
AZN,-0.702075048157231,-0.5389519662115303,0.0,-0.005855367227258021,0.0,-1.235171647141503
TEAM,-0.5028282265522257,-0.23023669204676897,0.0,0.09317155207670873,0.0,-0.8262364706757034
ADSK,-0.7446260642966052,-0.5266899109292851,0.0,0.2736401062461543,0.0,-1.5449560814720447
BKR,-0.4589263845036652,-0.5194769372338467,0.0,-0.3129482264866706,0.0,-0.6654550952508413
BIIB,0.1151746269005878,-0.25908858682852237,0.0,-0.2728428370252068,0.0,0.12892887709727222
BKNG,-0.47918877314146235,-0.21797463676452386,0.0,-0.533043503917699,0.0,-0.1641199059882873
AVGO,-0.39881463154486696,-0.44878979501855093,0.0,0.41307443059008137,0.0,-1.2606788571534993
CDNS,-0.41097206472754527,-0.25908858682852237,0.0,-0.4293324939434675,0.0,-0.24072815761260014
CDW,-0.44879519018476666,-0.26413766841532915,0.0,1.1147990796157274,0.0,-1.8277319382158232
CHTR,-1.0289749181803585,-0.8029468034645738,0.0,3.0440688966435157,0.0,-4.875990618288448
CTAS,0.3063164930504743,-0.2569246947198908,0.0,-0.17432307595682833,0.0,0.22371487428741182
CSCO,-0.6959963315658919,-0.5526566162328631,0.0,-0.13470774950952843,0.0,-1.1139451982892266
CCEP,-0.6872159631561799,-0.5504927241242316,0.0,0.29092337510614585,0.0,-1.5286320623865572
CTSH,0.28875575623105026,0.4081114799995246,0.0,-0.47910238191681576,0.0,1.1759696181473904
CMCSA,-0.8986202179438636,-0.692588305924367,0.0,0.12765831209671136,0.0,-1.718866835964942
CEG,-0.33532581381310245,-0.5851149978623357,0.0,-0.04094045999711202,0.0,-0.8795003516783261
CPRT,3.6732500716977694,3.9951232987410146,0.0,-0.5241710839984749,0.0,8.19254445443726
CSGP,4.839688244280292,5.435554145720053,0.0,-0.44726538121758325,0.0,10.722507771217927
COST,-0.6743831170189083,-0.7719310165741889,0.0,-0.2741192802248896,0.0,-1.1721948533682074
CRWD,-0.1090624740243675,0.11237955848655257,0.0,-0.33971934323716174,0.0,0.34303642769934684
CSX,-0.5251168540538026,-0.35646373171694007,0.0,0.33211716033162486,0.0,-1.2136977461023675
DDOG,1.0141492694641885,1.3522897367324043,0.0,-0.28528245981497313,0.0,2.651721466011566
DXCM,0.6568558164843653,0.7117776725774791,0.0,0.12386887134765295,0.0,1.2447646177141913
FANG,-0.679111007701061,-0.41849530549770986,0.0,-0.3172391270641759,0.0,-0.7803671861345949
DLTR,-0.4184016072280708,-0.9392720063083586,0.0,0.27630696078834893,0.0,-1.6339805743247782
DASH,-0.19416450630311566,-0.0744364602253007,0.0,-0.4885788329930326,0.0,0.21997786646461626
EA,-0.37247352631573055,-0.1508939813969471,0.0,-0.3902984050245947,0.0,-0.13306910268808292
EXC,-0.6048155826958047,-0.6550808427080876,0.0,0.45900359215009817,0.0,-1.7189000175539906
FAST,1.9644552965768751,0.5956487960809218,0.0,-0.45271305844480114,0.0,3.012817151102598
FTNT,-0.48999538041495416,-0.2814488052843812,0.0,-0.533043503917699,0.0,-0.23840068178163643
GEHC,-0.585904019967194,-0.5173130451252153,0.0,0.19194774146645208,0.0,-1.2951648065588612
GILD,-0.5717203479207361,-0.4502323897576386,0.0,0.28944748765651246,0.0,-1.311400225334887
GFS,0.16988307622264012,0.09867490846521962,0.0,-0.37667351354940853,0.0,0.6452314982372682
HON,-0.17660376948369144,-0.1840736603959635,0.0,0.3476510181991938,0.0,-0.7083284480788488
IDXX,-0.2400925872154558,-0.30885810532704694,0.0,-0.1447939301498796,0.0,-0.4041567623926231
ILMN,-0.11716742947948637,-0.1840736603959635,0.0,-0.30685662925246987,0.0,0.0056155393770199735
INTC,-0.24279423903382874,-0.334824810630625,0.0,-0.26318973532760526,0.0,-0.3144293143368485
INTU,-0.5075561172343784,-0.7495707981183299,0.0,-0.533043503917699,0.0,-0.7240834114350093
ISRG,2.4487263850202274,2.1341760853179212,0.0,-0.533043503917699,0.0,5.1159459742558475
KDP,-0.9567057320388822,-0.862814485136712,0.0,-0.14587662750675343,0.0,-1.6736435896688409
KLAC,0.14286655803891055,-0.07299386548621303,0.0,0.723358397848701,0.0,-0.6534857052960035
KHC,-0.5663170442839901,-0.6788836559030341,0.0,-0.2974257654333845,0.0,-0.9477749347536397
LRCX,0.6034981930714993,0.23788530078717976,0.0,-0.17904705547708316,0.0,1.0204305493357622
LIN,-0.6851897242924001,-0.5396732635810741,0.0,-0.24522835601778228,0.0,-0.979634631855692
LULU,0.38061191805573047,0.0027423583158895934,0.0,-0.34409571992178867,0.0,0.7274499962934087
MAR,-1.015466659088494,-0.7639967455092066,0.0,-0.533043503917699,0.0,-1.2464199006800016
MRVL,-0.1603938585734537,-0.2208598262426992,0.0,-0.36393757358828727,0.0,-0.017316111227865638
MELI,-0.4460935383663937,-0.43364255025813037,0.0,0.3587002296464486,0.0,-1.2384363182709726
META,0.5102912053376324,0.7918416805968447,0.0,-0.3896259929819046,0.0,1.6917588789163818
MCHP,-0.4926970322333271,-0.6255076505567905,0.0,-0.019520147552434215,0.0,-1.0986845352376833
MU,1.2282551760702454,0.4881754880188904,0.0,-0.3462554162283949,0.0,2.0626860803175306
MSFT,-0.46162803632203814,-0.22807279993813756,0.0,-0.2939212450413981,0.0,-0.39577959121877765
MRNA,1.4241249329022843,1.6559559293103592,0.0,-0.47804817659564913,0.0,3.5581290388082922
MDLZ,-0.7817737767992333,-0.8678635667235189,0.0,-0.14198461542914897,0.0,-1.5076527280936034
MDB,1.6726769001925963,1.9480813639756116,0.0,0.12139006424112599,0.0,3.4993681999270816
MNST,2.017137507035148,1.8478210296090185,0.0,-0.5289292539615784,0.0,4.393887790605745
NFLX,-0.5791498904212616,-0.40190546599820165,0.0,-0.09265920321283322,0.0,-0.88839615320663
NVDA,1.5166565076815584,1.397010173644122,0.0,-0.38645198020412186,0.0,3.3001186615298024
NXPI,0.29010658214023655,-0.012404886444530869,0.0,0.10081881446052293,0.0,0.17688288123518275
ORLY,-0.8209477281656411,-0.9839924432200762,0.0,-0.533043503917699,0.0,-1.2718966674680185
ODFL,0.2495818048646422,0.50692921962703,0.0,-0.5226894981417002,0.0,1.2792005226333725
ON,0.6413213185287208,0.20470562178816332,0.0,-0.281510114287339,0.0,1.1275370546042232
PCAR,1.8759761995251614,1.9358193086933662,0.0,-0.05608682617906298,0.0,3.8678823343975908
PANW,-0.7398981736144524,-0.513706558277496,0.0,-0.2473538618815399,0.0,-1.0062508700104087
PAYX,-0.46568051404959754,-0.7351448507274533,0.0,-0.4009202359362412,0.0,-0.7999051288408097
PYPL,-0.4373131699566815,-0.8195366429640819,0.0,-0.2125878799116066,0.0,-1.044261933009157
PDD,0.0017052505289236,0.03592203731490602,0.0,-0.5021068515468142,0.0,0.5397341393906439
PEP,-0.7196357849766554,-0.5843937004927918,0.0,0.8289897710295983,0.0,-2.1330192564990456
QCOM,0.48935340374524194,0.289097414024792,0.0,-0.17307512479285267,0.0,0.9515259425628867
REGN,2.2589353447795273,2.1262418142529387,0.0,-0.475968257989023,0.0,4.861145417021489
