Ticker,grossMargins,netProfitMargin,returnOnEquity,returnOnAssets,returnOnCapitalEmployed,Score
ADBE,1.4215608789207712,0.0,0.10897105833976357,1.0882231469051307,0.0,2.6187550841656657
ADP,-0.28999501692604424,0.0,1.2403640771649163,-0.4134130709868172,0.0,0.5369559892520548
ABNB,1.199345440894343,0.0,0.9599764914653235,-0.46948379913704186,0.0,1.6898381332226244
GOOGL,0.11798863803364426,0.0,0.05689848799594993,1.0720435257574932,0.0,1.2469306517870873
GOOG,0.11798863803364426,0.0,0.05689848799594993,1.0720435257574932,0.0,1.2469306517870873
AMZN,-0.3023425898722975,0.0,-0.13232719117505787,-0.2749098789915365,0.0,-0.709579660038892
AMD,-0.17601335920040376,0.0,-0.4982555244527306,-1.030051908001521,0.0,-1.7043207916546552
AEP,-0.41117250659064847,0.0,-0.31219061029193396,-0.7149677341005448,0.0,-1.4383308509831272
AMGN,0.5023842636731771,0.0,0.9133251698135814,-0.4110419196117323,0.0,1.0046675138750263
ADI,0.33100702936774185,0.0,-0.38222751723534215,-0.4950085462923667,0.0,-0.5462290341599669
ANSS,1.5687107306851276,0.0,-0.36792406437486325,-0.4120182760602967,0.0,0.7887683902499676
AAPL,-0.3878395628556377,0.0,2.4071858485081625,1.973917785766142,0.0,3.993264071418667
AMAT,-0.3201404616831331,0.0,0.36555303735432154,1.0806912543019203,0.0,1.1261038299731088
ASML,-0.13982207525500912,0.0,0.6673458502861818,0.8287912905723218,0.0,1.3563150656034946
AZN,1.183804422937728,0.0,-0.19268176079752647,-0.12329572627055752,0.0,0.8678269358696441
TEAM,1.1565545465838105,0.0,-0.9174367169965371,-1.3037106586368898,0.0,-1.0645928290496163
ADSK,1.5703714906999162,0.0,0.6697664946309042,-0.0885653326001975,0.0,2.1515726527306227
BKR,-1.4519947580574581,0.0,-0.2947663840752486,-0.4301506101050629,0.0,-2.1769117522377694
BIIB,0.8852891437765532,0.0,-0.3774863727207498,-0.4269425817740658,0.0,0.0808601892817376
BKNG,1.275475139816063,0.0,-0.5385252475834851,0.9657601523566328,0.0,1.7027100445892107
AVGO,0.8321516358043456,0.0,-0.043425730319157856,-0.03779479727485219,0.0,0.7509311082103356
CDNS,1.4739746438156454,0.0,0.10509016148937586,0.8287912905723218,0.0,2.407856095877343
CDW,-1.3972819018020268,0.0,0.6380387755440814,0.06207251946401412,0.0,-0.6971706067939313
CHTR,-0.6654488943490483,0.0,0.2134363163038571,-0.3641768100806443,0.0,-0.8161893881258355
CTAS,-0.2656403257721158,0.0,0.22607936834276995,0.8856989235743573,0.0,0.8461379661450115
CSCO,0.42472136881830663,0.0,0.011947636838612549,0.05970143782867574,0.0,0.49637044348559495
CCEP,-0.7640599317998883,0.0,-0.10556072973824547,-0.4044864113529846,0.0,-1.2741070728911184
CTSH,-0.8653533915281713,0.0,-0.21846798560473962,0.2968165055974109,0.0,-0.7870048715354999
CMCSA,0.651705514982058,0.0,-0.17579768497340864,-0.32233293438913135,0.0,0.15357489561951798
CEG,-1.5738960333775271,0.0,-0.12192468000380047,-0.6780056685477521,0.0,-2.3738263819290797
